dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
dresden_1,DepthAnythingV2-vitb,10,calib,17.68,139.3,31.49
dresden_1,DepthAnythingV2-vitb,10,sf,7.21,139.3,24.2
dresden_1,DepthAnythingV2-vitb,10,calib_shift,9.13,139.3,24.51
dresden_1,DepthAnythingV2-vitb,10,sf_shift,7.33,139.3,18.02
dresden_1,DepthAnythingV2-vitb,10,calib_ro,21.38,139.3,36.03
dresden_1,DepthAnythingV2-vitb,10,sf_ro,14.49,139.3,32.41
dresden_1,DepthAnythingV2-vitb,10,calib_shift_ro,16.51,139.3,38.99
dresden_1,DepthAnythingV2-vitb,10,sf_shift_ro,9.25,139.3,31.25
dresden_1,DepthAnythingV2-vitb,100,calib,28.38,139.3,39.22
dresden_1,DepthAnythingV2-vitb,100,sf,16.31,139.3,34.75
dresden_1,DepthAnythingV2-vitb,100,calib_shift,22.1,139.3,35.72
dresden_1,DepthAnythingV2-vitb,100,sf_shift,9.09,139.3,31.45
dresden_1,DepthAnythingV2-vitb,100,calib_ro,23.9,139.3,38.66
dresden_1,DepthAnythingV2-vitb,100,sf_ro,18.25,139.3,44.34
dresden_1,DepthAnythingV2-vitb,100,calib_shift_ro,20.71,139.3,44.41
dresden_1,DepthAnythingV2-vitb,100,sf_shift_ro,10.57,139.3,44.29
dresden_1,DepthAnythingV2-vitb,500,calib,34.31,139.3,42.76
dresden_1,DepthAnythingV2-vitb,500,sf,21.07,139.3,39.91
dresden_1,DepthAnythingV2-vitb,500,calib_shift,29.25,139.3,39.79
dresden_1,DepthAnythingV2-vitb,500,sf_shift,13.61,139.3,37.38
dresden_1,DepthAnythingV2-vitb,500,calib_ro,24.51,139.3,39.05
dresden_1,DepthAnythingV2-vitb,500,sf_ro,20.03,139.3,45.79
dresden_1,DepthAnythingV2-vitb,500,calib_shift_ro,21.91,139.3,45.29
dresden_1,DepthAnythingV2-vitb,500,sf_shift_ro,11.71,139.3,46.85
dresden_1,DepthAnythingV2-vitb,1000,calib,37.05,139.3,43.64
dresden_1,DepthAnythingV2-vitb,1000,sf,23.84,139.3,41.49
dresden_1,DepthAnythingV2-vitb,1000,calib_shift,31.0,139.3,40.83
dresden_1,DepthAnythingV2-vitb,1000,sf_shift,14.45,139.3,38.87
dresden_1,DepthAnythingV2-vitb,1000,calib_ro,24.11,139.3,39.09
dresden_1,DepthAnythingV2-vitb,1000,sf_ro,19.53,139.3,45.96
dresden_1,DepthAnythingV2-vitb,1000,calib_shift_ro,22.81,139.3,45.44
dresden_1,DepthAnythingV2-vitb,1000,sf_shift_ro,11.69,139.3,47.54
dresden_1,DepthAnythingV2-vitl,10,calib,20.3,206.99,27.87
dresden_1,DepthAnythingV2-vitl,10,sf,9.85,206.99,24.71
dresden_1,DepthAnythingV2-vitl,10,calib_shift,9.32,206.99,23.67
dresden_1,DepthAnythingV2-vitl,10,sf_shift,6.07,206.99,19.33
dresden_1,DepthAnythingV2-vitl,10,calib_ro,25.58,206.99,34.58
dresden_1,DepthAnythingV2-vitl,10,sf_ro,15.0,206.99,34.29
dresden_1,DepthAnythingV2-vitl,10,calib_shift_ro,18.75,206.99,38.89
dresden_1,DepthAnythingV2-vitl,10,sf_shift_ro,10.18,206.99,32.35
dresden_1,DepthAnythingV2-vitl,100,calib,33.08,206.99,35.96
dresden_1,DepthAnythingV2-vitl,100,sf,19.03,206.99,35.03
dresden_1,DepthAnythingV2-vitl,100,calib_shift,21.57,206.99,34.38
dresden_1,DepthAnythingV2-vitl,100,sf_shift,6.95,206.99,30.27
dresden_1,DepthAnythingV2-vitl,100,calib_ro,28.47,206.99,38.99
dresden_1,DepthAnythingV2-vitl,100,sf_ro,21.88,206.99,43.66
dresden_1,DepthAnythingV2-vitl,100,calib_shift_ro,22.4,206.99,44.96
dresden_1,DepthAnythingV2-vitl,100,sf_shift_ro,14.28,206.99,45.2
dresden_1,DepthAnythingV2-vitl,500,calib,38.1,206.99,39.09
dresden_1,DepthAnythingV2-vitl,500,sf,24.51,206.99,40.73
dresden_1,DepthAnythingV2-vitl,500,calib_shift,29.29,206.99,37.81
dresden_1,DepthAnythingV2-vitl,500,sf_shift,10.69,206.99,35.7
dresden_1,DepthAnythingV2-vitl,500,calib_ro,29.71,206.99,39.03
dresden_1,DepthAnythingV2-vitl,500,sf_ro,23.26,206.99,46.09
dresden_1,DepthAnythingV2-vitl,500,calib_shift_ro,25.95,206.99,45.79
dresden_1,DepthAnythingV2-vitl,500,sf_shift_ro,15.33,206.99,47.42
dresden_1,DepthAnythingV2-vitl,1000,calib,39.71,206.99,40.3
dresden_1,DepthAnythingV2-vitl,1000,sf,26.5,206.99,42.1
dresden_1,DepthAnythingV2-vitl,1000,calib_shift,33.88,206.99,39.88
dresden_1,DepthAnythingV2-vitl,1000,sf_shift,12.93,206.99,37.76
dresden_1,DepthAnythingV2-vitl,1000,calib_ro,29.55,206.99,39.11
dresden_1,DepthAnythingV2-vitl,1000,sf_ro,23.15,206.99,46.64
dresden_1,DepthAnythingV2-vitl,1000,calib_shift_ro,26.51,206.99,45.95
dresden_1,DepthAnythingV2-vitl,1000,sf_shift_ro,15.49,206.99,47.94
dresden_1,DepthAnythingV2-vits,10,calib,15.96,104.09,31.45
dresden_1,DepthAnythingV2-vits,10,sf,7.91,104.09,23.88
dresden_1,DepthAnythingV2-vits,10,calib_shift,10.69,104.09,25.64
dresden_1,DepthAnythingV2-vits,10,sf_shift,8.22,104.09,18.39
dresden_1,DepthAnythingV2-vits,10,calib_ro,20.13,104.09,35.77
dresden_1,DepthAnythingV2-vits,10,sf_ro,13.47,104.09,33.14
dresden_1,DepthAnythingV2-vits,10,calib_shift_ro,17.42,104.09,38.98
dresden_1,DepthAnythingV2-vits,10,sf_shift_ro,8.67,104.09,30.42
dresden_1,DepthAnythingV2-vits,100,calib,29.21,104.09,39.59
dresden_1,DepthAnythingV2-vits,100,sf,13.88,104.09,34.15
dresden_1,DepthAnythingV2-vits,100,calib_shift,18.23,104.09,34.85
dresden_1,DepthAnythingV2-vits,100,sf_shift,9.19,104.09,32.2
dresden_1,DepthAnythingV2-vits,100,calib_ro,21.31,104.09,39.74
dresden_1,DepthAnythingV2-vits,100,sf_ro,18.48,104.09,42.28
dresden_1,DepthAnythingV2-vits,100,calib_shift_ro,19.72,104.09,44.13
dresden_1,DepthAnythingV2-vits,100,sf_shift_ro,11.8,104.09,43.67
dresden_1,DepthAnythingV2-vits,500,calib,35.24,104.09,42.6
dresden_1,DepthAnythingV2-vits,500,sf,21.02,104.09,39.19
dresden_1,DepthAnythingV2-vits,500,calib_shift,26.45,104.09,38.82
dresden_1,DepthAnythingV2-vits,500,sf_shift,14.69,104.09,37.84
dresden_1,DepthAnythingV2-vits,500,calib_ro,22.22,104.09,40.44
dresden_1,DepthAnythingV2-vits,500,sf_ro,20.84,104.09,44.86
dresden_1,DepthAnythingV2-vits,500,calib_shift_ro,24.48,104.09,45.21
dresden_1,DepthAnythingV2-vits,500,sf_shift_ro,12.47,104.09,46.91
dresden_1,DepthAnythingV2-vits,1000,calib,37.2,104.09,43.41
dresden_1,DepthAnythingV2-vits,1000,sf,23.32,104.09,40.77
dresden_1,DepthAnythingV2-vits,1000,calib_shift,29.97,104.09,40.29
dresden_1,DepthAnythingV2-vits,1000,sf_shift,17.03,104.09,39.37
dresden_1,DepthAnythingV2-vits,1000,calib_ro,21.82,104.09,40.32
dresden_1,DepthAnythingV2-vits,1000,sf_ro,22.0,104.09,45.2
dresden_1,DepthAnythingV2-vits,1000,calib_shift_ro,24.94,104.09,45.39
dresden_1,DepthAnythingV2-vits,1000,sf_shift_ro,12.56,104.09,47.31
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,calib,16.07,84.0,30.94
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,sf,8.7,84.0,25.49
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift,7.5,84.0,22.23
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift,6.52,84.0,15.72
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,calib_ro,20.33,84.0,37.47
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,sf_ro,12.81,84.0,36.85
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift_ro,15.64,84.0,36.79
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift_ro,5.74,84.0,27.9
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,calib,25.71,84.0,38.37
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,sf,13.83,84.0,35.42
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift,16.41,84.0,32.69
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift,7.43,84.0,27.15
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,calib_ro,21.94,84.0,41.68
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,sf_ro,17.4,84.0,46.01
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift_ro,19.6,84.0,43.9
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift_ro,8.84,84.0,42.67
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,calib,31.52,84.0,42.42
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,sf,19.43,84.0,39.94
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift,24.77,84.0,37.47
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift,10.72,84.0,32.31
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,calib_ro,22.16,84.0,42.13
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,sf_ro,18.21,84.0,47.6
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift_ro,19.53,84.0,45.59
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift_ro,10.16,84.0,45.07
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,calib,34.52,84.0,43.49
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,sf,22.37,84.0,41.88
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift,28.13,84.0,39.18
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift,11.73,84.0,34.27
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_ro,22.43,84.0,42.17
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_ro,19.39,84.0,48.31
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift_ro,19.11,84.0,45.78
dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift_ro,9.54,84.0,45.25
dresden_1,DepthAnythingV3-DA3MONO-LARGE,10,calib,15.46,129.6,31.39
dresden_1,DepthAnythingV3-DA3MONO-LARGE,10,sf,8.65,129.6,24.74
dresden_1,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift,9.67,129.6,23.41
dresden_1,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift,8.2,129.6,16.21
dresden_1,DepthAnythingV3-DA3MONO-LARGE,10,calib_ro,18.81,129.6,36.92
dresden_1,DepthAnythingV3-DA3MONO-LARGE,10,sf_ro,12.74,129.6,34.86
dresden_1,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift_ro,15.21,129.6,38.69
dresden_1,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift_ro,8.08,129.6,27.99
dresden_1,DepthAnythingV3-DA3MONO-LARGE,100,calib,24.32,129.6,38.79
dresden_1,DepthAnythingV3-DA3MONO-LARGE,100,sf,13.72,129.6,33.86
dresden_1,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift,18.42,129.6,33.03
dresden_1,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift,8.96,129.6,28.53
dresden_1,DepthAnythingV3-DA3MONO-LARGE,100,calib_ro,19.96,129.6,40.1
dresden_1,DepthAnythingV3-DA3MONO-LARGE,100,sf_ro,18.42,129.6,44.82
dresden_1,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift_ro,17.92,129.6,45.81
dresden_1,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift_ro,10.96,129.6,42.33
dresden_1,DepthAnythingV3-DA3MONO-LARGE,500,calib,33.19,129.6,42.49
dresden_1,DepthAnythingV3-DA3MONO-LARGE,500,sf,20.3,129.6,39.54
dresden_1,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift,21.83,129.6,36.54
dresden_1,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift,11.51,129.6,33.36
dresden_1,DepthAnythingV3-DA3MONO-LARGE,500,calib_ro,20.23,129.6,40.7
dresden_1,DepthAnythingV3-DA3MONO-LARGE,500,sf_ro,19.98,129.6,46.45
dresden_1,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift_ro,17.65,129.6,46.99
dresden_1,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift_ro,11.6,129.6,44.91
dresden_1,DepthAnythingV3-DA3MONO-LARGE,1000,calib,36.62,129.6,43.68
dresden_1,DepthAnythingV3-DA3MONO-LARGE,1000,sf,22.36,129.6,41.22
dresden_1,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift,25.62,129.6,38.75
dresden_1,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift,13.48,129.6,35.67
dresden_1,DepthAnythingV3-DA3MONO-LARGE,1000,calib_ro,20.29,129.6,40.75
dresden_1,DepthAnythingV3-DA3MONO-LARGE,1000,sf_ro,19.57,129.6,47.04
dresden_1,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift_ro,17.49,129.6,47.14
dresden_1,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift_ro,11.91,129.6,45.43
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib,16.55,134.55,31.05
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift,7.57,134.55,22.2
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_ro,20.62,134.55,37.41
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift_ro,15.78,134.55,36.78
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib,25.33,134.55,38.47
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift,16.96,134.55,32.72
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_ro,22.26,134.55,41.73
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift_ro,19.43,134.55,43.82
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib,31.93,134.55,42.51
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift,24.58,134.55,37.53
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_ro,22.16,134.55,42.16
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift_ro,18.74,134.55,45.37
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib,34.55,134.55,43.51
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift,27.91,134.55,39.07
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_ro,22.43,134.55,42.2
dresden_1,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift_ro,18.63,134.55,45.72
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib,15.46,88.26,31.47
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift,9.49,88.26,23.47
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_ro,18.83,88.26,36.98
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift_ro,15.23,88.26,38.8
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib,23.97,88.26,38.74
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_shift,18.17,88.26,32.96
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_ro,19.87,88.26,40.1
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_shift_ro,18.02,88.26,45.85
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib,32.42,88.26,42.46
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_shift,22.14,88.26,36.62
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_ro,20.13,88.26,40.7
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_shift_ro,17.63,88.26,47.02
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib,36.11,88.26,43.62
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_shift,24.35,88.26,38.73
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_ro,20.17,88.26,40.78
dresden_1,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_shift_ro,17.47,88.26,47.17
dresden_1,DepthPro-vitl,10,calib,19.95,200.03,31.19
dresden_1,DepthPro-vitl,10,mdecalib,13.95,200.03,29.23
dresden_1,DepthPro-vitl,10,sf,8.3,200.03,24.62
dresden_1,DepthPro-vitl,10,calib_shift,10.64,200.03,23.82
dresden_1,DepthPro-vitl,10,mdecalib_shift,6.17,200.03,22.34
dresden_1,DepthPro-vitl,10,sf_shift,6.96,200.03,18.11
dresden_1,DepthPro-vitl,10,calib_ro,22.96,200.03,38.33
dresden_1,DepthPro-vitl,10,mdecalib_ro,18.1,200.03,35.11
dresden_1,DepthPro-vitl,10,sf_ro,14.62,200.03,36.7
dresden_1,DepthPro-vitl,10,calib_shift_ro,15.43,200.03,38.57
dresden_1,DepthPro-vitl,10,mdecalib_shift_ro,10.86,200.03,36.83
dresden_1,DepthPro-vitl,10,sf_shift_ro,8.04,200.03,31.5
dresden_1,DepthPro-vitl,100,calib,29.81,200.03,39.44
dresden_1,DepthPro-vitl,100,mdecalib,22.21,200.03,37.11
dresden_1,DepthPro-vitl,100,sf,18.08,200.03,35.31
dresden_1,DepthPro-vitl,100,calib_shift,19.05,200.03,33.52
dresden_1,DepthPro-vitl,100,mdecalib_shift,11.86,200.03,32.01
dresden_1,DepthPro-vitl,100,sf_shift,8.14,200.03,29.46
dresden_1,DepthPro-vitl,100,calib_ro,25.34,200.03,41.15
dresden_1,DepthPro-vitl,100,mdecalib_ro,18.44,200.03,38.48
dresden_1,DepthPro-vitl,100,sf_ro,21.31,200.03,46.05
dresden_1,DepthPro-vitl,100,calib_shift_ro,20.05,200.03,45.48
dresden_1,DepthPro-vitl,100,mdecalib_shift_ro,12.66,200.03,43.97
dresden_1,DepthPro-vitl,100,sf_shift_ro,12.72,200.03,44.82
dresden_1,DepthPro-vitl,500,calib,40.96,200.03,43.04
dresden_1,DepthPro-vitl,500,mdecalib,24.76,200.03,39.84
dresden_1,DepthPro-vitl,500,sf,24.07,200.03,40.39
dresden_1,DepthPro-vitl,500,calib_shift,29.06,200.03,39.19
dresden_1,DepthPro-vitl,500,mdecalib_shift,18.02,200.03,35.84
dresden_1,DepthPro-vitl,500,sf_shift,14.71,200.03,35.67
dresden_1,DepthPro-vitl,500,calib_ro,25.74,200.03,41.55
dresden_1,DepthPro-vitl,500,mdecalib_ro,19.43,200.03,38.83
dresden_1,DepthPro-vitl,500,sf_ro,22.04,200.03,47.59
dresden_1,DepthPro-vitl,500,calib_shift_ro,24.07,200.03,46.67
dresden_1,DepthPro-vitl,500,mdecalib_shift_ro,14.6,200.03,44.99
dresden_1,DepthPro-vitl,500,sf_shift_ro,12.17,200.03,48.15
dresden_1,DepthPro-vitl,1000,calib,43.36,200.03,43.8
dresden_1,DepthPro-vitl,1000,mdecalib,26.04,200.03,40.79
dresden_1,DepthPro-vitl,1000,sf,25.59,200.03,42.0
dresden_1,DepthPro-vitl,1000,calib_shift,30.07,200.03,40.43
dresden_1,DepthPro-vitl,1000,mdecalib_shift,20.25,200.03,37.02
dresden_1,DepthPro-vitl,1000,sf_shift,17.07,200.03,37.62
dresden_1,DepthPro-vitl,1000,calib_ro,25.31,200.03,41.47
dresden_1,DepthPro-vitl,1000,mdecalib_ro,18.92,200.03,38.89
dresden_1,DepthPro-vitl,1000,sf_ro,22.76,200.03,48.02
dresden_1,DepthPro-vitl,1000,calib_shift_ro,24.18,200.03,46.86
dresden_1,DepthPro-vitl,1000,mdecalib_shift_ro,14.65,200.03,44.98
dresden_1,DepthPro-vitl,1000,sf_shift_ro,13.28,200.03,49.09
dresden_1,DepthProCalib-vitl,10,calib,20.76,204.73,31.5
dresden_1,DepthProCalib-vitl,10,calib_shift,10.44,204.73,23.97
dresden_1,DepthProCalib-vitl,10,calib_ro,23.57,204.73,37.96
dresden_1,DepthProCalib-vitl,10,calib_shift_ro,16.05,204.73,38.1
dresden_1,DepthProCalib-vitl,100,calib,30.44,204.73,39.52
dresden_1,DepthProCalib-vitl,100,calib_shift,18.42,204.73,33.57
dresden_1,DepthProCalib-vitl,100,calib_ro,25.45,204.73,41.04
dresden_1,DepthProCalib-vitl,100,calib_shift_ro,20.84,204.73,45.39
dresden_1,DepthProCalib-vitl,500,calib,40.66,204.73,43.12
dresden_1,DepthProCalib-vitl,500,calib_shift,26.58,204.73,39.06
dresden_1,DepthProCalib-vitl,500,calib_ro,25.89,204.73,41.35
dresden_1,DepthProCalib-vitl,500,calib_shift_ro,23.68,204.73,46.73
dresden_1,DepthProCalib-vitl,1000,calib,42.73,204.73,43.77
dresden_1,DepthProCalib-vitl,1000,calib_shift,28.28,204.73,40.13
dresden_1,DepthProCalib-vitl,1000,calib_ro,25.65,204.73,41.25
dresden_1,DepthProCalib-vitl,1000,calib_shift_ro,23.07,204.73,47.06
dresden_1,InfiniDepth-vitl,10,calib,14.73,2676.83,27.75
dresden_1,InfiniDepth-vitl,10,sf,4.84,2676.83,19.01
dresden_1,InfiniDepth-vitl,10,calib_shift,7.53,2676.83,20.81
dresden_1,InfiniDepth-vitl,10,sf_shift,7.62,2676.83,16.41
dresden_1,InfiniDepth-vitl,10,calib_ro,12.37,2676.83,27.8
dresden_1,InfiniDepth-vitl,10,sf_ro,5.97,2676.83,20.0
dresden_1,InfiniDepth-vitl,10,calib_shift_ro,8.13,2676.83,30.66
dresden_1,InfiniDepth-vitl,10,sf_shift_ro,6.95,2676.83,25.7
dresden_1,InfiniDepth-vitl,100,calib,26.77,2676.83,36.63
dresden_1,InfiniDepth-vitl,100,sf,10.29,2676.83,29.4
dresden_1,InfiniDepth-vitl,100,calib_shift,14.85,2676.83,32.03
dresden_1,InfiniDepth-vitl,100,sf_shift,5.49,2676.83,27.37
dresden_1,InfiniDepth-vitl,100,calib_ro,16.52,2676.83,32.95
dresden_1,InfiniDepth-vitl,100,sf_ro,10.96,2676.83,32.68
dresden_1,InfiniDepth-vitl,100,calib_shift_ro,9.2,2676.83,42.27
dresden_1,InfiniDepth-vitl,100,sf_shift_ro,6.52,2676.83,37.93
dresden_1,InfiniDepth-vitl,500,calib,34.96,2676.83,41.41
dresden_1,InfiniDepth-vitl,500,sf,15.98,2676.83,35.64
dresden_1,InfiniDepth-vitl,500,calib_shift,22.06,2676.83,37.15
dresden_1,InfiniDepth-vitl,500,sf_shift,9.98,2676.83,33.21
dresden_1,InfiniDepth-vitl,500,calib_ro,16.26,2676.83,33.57
dresden_1,InfiniDepth-vitl,500,sf_ro,13.65,2676.83,37.05
dresden_1,InfiniDepth-vitl,500,calib_shift_ro,10.3,2676.83,43.39
dresden_1,InfiniDepth-vitl,500,sf_shift_ro,7.43,2676.83,41.83
dresden_1,InfiniDepth-vitl,1000,calib,38.39,2676.83,42.87
dresden_1,InfiniDepth-vitl,1000,sf,18.15,2676.83,37.96
dresden_1,InfiniDepth-vitl,1000,calib_shift,25.03,2676.83,38.59
dresden_1,InfiniDepth-vitl,1000,sf_shift,12.73,2676.83,35.26
dresden_1,InfiniDepth-vitl,1000,calib_ro,16.21,2676.83,33.85
dresden_1,InfiniDepth-vitl,1000,sf_ro,12.82,2676.83,38.0
dresden_1,InfiniDepth-vitl,1000,calib_shift_ro,11.17,2676.83,43.8
dresden_1,InfiniDepth-vitl,1000,sf_shift_ro,7.27,2676.83,42.55
dresden_1,MapAnything-map-anything,10,calib,14.88,317.66,38.29
dresden_1,MapAnything-map-anything,10,mdecalib,12.44,317.66,37.21
dresden_1,MapAnything-map-anything,10,sf,8.75,317.66,31.17
dresden_1,MapAnything-map-anything,10,calib_shift,10.13,317.66,28.08
dresden_1,MapAnything-map-anything,10,mdecalib_shift,8.49,317.66,27.1
dresden_1,MapAnything-map-anything,10,sf_shift,4.32,317.66,21.89
dresden_1,MapAnything-map-anything,10,calib_ro,20.84,317.66,33.64
dresden_1,MapAnything-map-anything,10,mdecalib_ro,17.98,317.66,33.62
dresden_1,MapAnything-map-anything,10,sf_ro,13.98,317.66,34.56
dresden_1,MapAnything-map-anything,10,calib_shift_ro,13.97,317.66,38.01
dresden_1,MapAnything-map-anything,10,mdecalib_shift_ro,11.62,317.66,36.75
dresden_1,MapAnything-map-anything,10,sf_shift_ro,5.91,317.66,30.43
dresden_1,MapAnything-map-anything,100,calib,22.1,317.66,44.8
dresden_1,MapAnything-map-anything,100,mdecalib,19.44,317.66,43.73
dresden_1,MapAnything-map-anything,100,sf,15.77,317.66,41.24
dresden_1,MapAnything-map-anything,100,calib_shift,16.3,317.66,37.34
dresden_1,MapAnything-map-anything,100,mdecalib_shift,11.99,317.66,36.07
dresden_1,MapAnything-map-anything,100,sf_shift,5.08,317.66,34.87
dresden_1,MapAnything-map-anything,100,calib_ro,23.72,317.66,36.57
dresden_1,MapAnything-map-anything,100,mdecalib_ro,21.2,317.66,36.27
dresden_1,MapAnything-map-anything,100,sf_ro,19.51,317.66,42.51
dresden_1,MapAnything-map-anything,100,calib_shift_ro,16.28,317.66,42.71
dresden_1,MapAnything-map-anything,100,mdecalib_shift_ro,13.37,317.66,42.27
dresden_1,MapAnything-map-anything,100,sf_shift_ro,6.02,317.66,43.19
dresden_1,MapAnything-map-anything,500,calib,28.24,317.66,48.08
dresden_1,MapAnything-map-anything,500,mdecalib,25.32,317.66,46.46
dresden_1,MapAnything-map-anything,500,sf,19.79,317.66,44.81
dresden_1,MapAnything-map-anything,500,calib_shift,21.49,317.66,40.68
dresden_1,MapAnything-map-anything,500,mdecalib_shift,18.55,317.66,39.61
dresden_1,MapAnything-map-anything,500,sf_shift,8.47,317.66,39.28
dresden_1,MapAnything-map-anything,500,calib_ro,24.64,317.66,36.79
dresden_1,MapAnything-map-anything,500,mdecalib_ro,20.48,317.66,36.43
dresden_1,MapAnything-map-anything,500,sf_ro,19.93,317.66,43.7
dresden_1,MapAnything-map-anything,500,calib_shift_ro,19.32,317.66,44.04
dresden_1,MapAnything-map-anything,500,mdecalib_shift_ro,13.94,317.66,43.26
dresden_1,MapAnything-map-anything,500,sf_shift_ro,6.96,317.66,45.51
dresden_1,MapAnything-map-anything,1000,calib,30.03,317.66,48.59
dresden_1,MapAnything-map-anything,1000,mdecalib,26.31,317.66,47.0
dresden_1,MapAnything-map-anything,1000,sf,19.07,317.66,45.69
dresden_1,MapAnything-map-anything,1000,calib_shift,23.97,317.66,41.6
dresden_1,MapAnything-map-anything,1000,mdecalib_shift,20.06,317.66,40.38
dresden_1,MapAnything-map-anything,1000,sf_shift,8.59,317.66,40.86
dresden_1,MapAnything-map-anything,1000,calib_ro,24.83,317.66,36.77
dresden_1,MapAnything-map-anything,1000,mdecalib_ro,20.84,317.66,36.48
